Title,Author,Genre
The Lord of the Rings,J.R.R. Tolkien,Fantasy
Pride and Prejudice,Jane Austen,Romance
1984,George Orwell,Dystopian
To Kill a Mockingbird,Harper Lee,Classic
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction
Dune,Frank Herbert,Science Fiction
The Great Gatsby,F. Scott Fitzgerald,Classic
The Catcher in the Rye,J.D. Salinger,Literary
The Hobbit,J.R.R. Tolkien,Fantasy
Jane Eyre,Charlotte Brontë,Gothic
Little Women,Louisa May Alcott,Classic
Animal Farm,George Orwell,Dystopian
Brave New World,Aldous Huxley,Dystopian
Foundation,Isaac Asimov,Science Fiction
The Picture of Dorian Gray,Oscar Wilde,Gothic
The Lord of the Rings,J.R.R. Tolkien,Fantasy
Pride and Prejudice,Jane Austen,Romance 
1984,George Orwell,Dystopian
To Kill a Mockingbird,Harper Lee,Classic
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction
Dune,Frank Herbert,Science Fiction
The Great Gatsby,F. Scott Fitzgerald,Classic
The Catcher in the Rye,J.D. Salinger,Literary
The Hobbit,J.R.R. Tolkien,Fantasy
Jane Eyre,Charlotte Brontë,Gothic
Little Women,Louisa May Alcott,Classic
Animal Farm,George Orwell,Dystopian
Brave New World,Aldous Huxley,Dystopian
Foundation,Isaac Asimov,Science Fiction
The Picture of Dorian Gray,Oscar Wilde,Gothic
